Order ID;Order Status;Order Item ID;Order Item Type;Date/Time (UTC);Product ID;Product Name;Quantity;Billing Currency Name;SKU;Test mode;Recurring Payment;License Key;Vola Id
42804191;Processed;55366795;Product;06/01/2026 02:37:08;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;747a2a7d-1777-43af-90d6-e430c0a12393
42789886;Processed;55348713;Product;05/30/2026 18:47:41;92373;Vola Plan Medium (Mensual) (payment #2);1;Argentine Peso;;No;Yes;;7aa4e27d-da9e-4d10-830f-5f9e2b35f6d9
42786622;Processed;55344651;Product;05/30/2026 14:19:12;92373;Vola Plan Medium (Mensual) (payment #3);1;United States Dollar;;No;Yes;;e3b6540d-0440-487c-818e-493e25e5c51f
42780070;Processed;55336377;Product;05/29/2026 23:36:12;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;eb43c3f6-8c8a-41f0-b246-4f1494d7f2a5
42779833;Processed;55336054;Product;05/29/2026 23:06:53;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;d4eb4467-7930-4018-a0ab-c7c54bfdf347
42779427;Processed;55335549;Product;05/29/2026 22:20:17;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;fe1ae549-6cca-49e6-8c4b-80ee0784631e
42777863;Processed;55333529;Product;05/29/2026 19:47:40;92372;Vola Plan Basic (Mensual);1;Uruguayan peso;;No;No;;1c8043b8-02ce-4b45-b951-4e90a1bf0a7e
42774918;Processed;55329725;Product;05/29/2026 15:48:04;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;626ccebe-9c97-4d6d-853e-5f488ad13f1b
42774366;Processed;55329056;Product;05/29/2026 15:07:15;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;1c40ff0c-5ac1-466d-beb6-5db90c5b8373
42773379;Processed;55327786;Product;05/29/2026 13:50:29;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;795c2ef2-bc88-457d-b995-fe6dd8773077
42764296;Processed;55316375;Product;05/28/2026 21:38:17;92373;Vola Plan Medium (Mensual) (payment #13);1;Chilean Peso;;No;Yes;;5f311fd12df7b
42762475;Processed;55314123;Product;05/28/2026 19:50:28;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;9b336ff2-c98d-4ec4-9ed0-db604214d0d0
42762448;Processed;55314088;Product;05/28/2026 19:49:15;92372;Vola Plan Basic (Mensual) (payment #13);1;Chilean Peso;;No;Yes;;5cfae436-b9d7-4a46-a9ef-8264cb593c9a
42759657;Processed;55310725;Product;05/28/2026 17:26:10;92372;Vola Plan Basic (Mensual) (payment #7);1;Chilean Peso;;No;Yes;;2bf8f640-e208-46cf-a1d2-fe18192d3e50
42759375;Processed;55310377;Product;05/28/2026 17:12:34;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;8128fd81-4861-4618-8e7a-a8de279fdf9d
42758631;Processed;55309486;Product;05/28/2026 16:33:38;92373;Vola Plan Medium (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;d0dccdf6-9a50-486b-a7a7-dcfab9ca8b2d
42757695;Processed;55308354;Product;05/28/2026 15:49:31;92372;Vola Plan Basic (Mensual);1;Uruguayan peso;;No;No;;e6b9ab98-8a96-4c1b-ae90-592c652d8a2c
42757633;Processed;55308280;Product;05/28/2026 15:47:08;92373;Vola Plan Medium (Mensual) (payment #11);1;Chilean Peso;;No;Yes;;3d2b474c-246f-418d-9d36-928d1a5ac59a
42757181;Processed;55307729;Product;05/28/2026 15:26:14;100742;Vola Plan Basic (Anual);1;United States Dollar;;No;No;;
42756989;Processed;55307488;Product;05/28/2026 15:17:09;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;9ae948f6-1bd8-4be5-88c1-2f2076cd87e4
42756772;Processed;55307234;Product;05/28/2026 15:04:56;92372;Vola Plan Basic (Monthly) (payment #2);1;Chilean Peso;;No;Yes;;f97e0af5-bfb3-4ab2-abd9-925d419c9ce7
42750576;Processed;55299765;Product;05/28/2026 08:10:19;92372;Vola Plan Basic (Mensual) (payment #6);1;Chilean Peso;;No;Yes;;41e62ac5-3a76-4a01-8a11-90fd9df2db95
42745397;Processed;55293639;Product;05/27/2026 23:31:07;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;c1f8ef02-370a-4a73-8f2b-9124fe51ba8f
42741598;Processed;55288937;Product;05/27/2026 18:30:35;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;d7732d08-131a-4306-92fe-82a04302beb7
42738697;Processed;55285309;Product;05/27/2026 15:24:52;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;acbd6c05-e181-4a5b-b6ba-6b9c117a8063
42737609;Processed;55283912;Product;05/27/2026 14:19:57;92372;Vola Plan Basic (Mensual) (payment #3);1;Chilean Peso;;No;Yes;;5f311fd11bf15
42729750;Processed;55274260;Product;05/27/2026 01:29:42;92372;Vola Plan Basic (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;78e535f9-e125-4cda-b01a-989426efbe0b
